                                   | Core 0    
  Instructions                     |  100000001
  Cycles                           |  120915483
  IPC                              |       0.83
  Time (ns)                        |   45456949
  Idle time (ns)                   |       -315
  Idle time (%)                    |      -0.0%
Branch predictor stats             |           
  num correct                      |   16358574
  num incorrect                    |    1111290
  misprediction rate               |      6.36%
  mpki                             |      11.11
TLB Summary                        |           
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |          0
    num cache misses               |          0
    miss rate                      |       inf%
    mpki                           |       0.00
  Cache L1-D                       |           
    num cache accesses             |   31535255
    num cache misses               |     112536
    miss rate                      |      0.36%
    mpki                           |       1.13
  Cache L2                         |           
    num cache accesses             |     112536
    num cache misses               |      32951
    miss rate                      |     29.28%
    mpki                           |       0.33
  Cache L3                         |           
    num cache accesses             |      32951
    num cache misses               |      30339
    miss rate                      |     92.07%
    mpki                           |       0.30
DRAM summary                       |           
  num dram accesses                |      30339
  average dram access latency (ns) |      56.39
  average dram queueing delay      |       0.00
